institution;indicator;taux observé 2018-2022;taux attendu 2018-2022;SMR 2018-2022;nombre de cas 2018-2022;taux observé 2023;taux attendu 2023;SMR 2023;nombre de cas 2023
Maison de naissance Les Cigognes;A.3.11.M Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde ou OP du cœur (âge >19), transféré d'un autre hôpital, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.3.12.M Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), réanimation avant admission, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.3.7.M Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde sans autre OP (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.3.5.M Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.3.5.P Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.3.13.M Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde ou OP du cœur (âge >19), transféré d'un autre hôpital, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.3.14.M Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), réanimation avant admission, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.3.8.M Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde sans autre OP (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.3.6.F Cas avec cathétérisme cardiaque chez l'enfant et l'adolescent (âge <20);*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.4 Troubles du rythme cardiaque; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;A.4.1.F DP troubles du rythme cardiaque;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.5 Traitement par pacemaker ou défibrillateur implantable; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;A.5.1.F Traitement par pacemaker (implantation et changement, défibrillateur inclus);*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.5.2.F Implantation et changement de défibrillateur;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.6 Traitement par ablation; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;A.6.1.F Ablation par cathéter;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.6.3.M Ablation de l'oreillette en cas de fibrillation auriculaire / de flutter auriculaire, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.6.4.P Complications péricardiques lors de l’ablation de l'oreillette en cas de fibrillation auriculaire / de flutter auriculaire, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.6.2.F Ablation chirurgicale;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7 Opérations du cœur; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;A.7.1.F Total des OP du cœur;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.2.F OP des valves cardiaques;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.3.F OP des vaisseaux coronaires;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.4.F Autres OP du cœur;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.5.F OP combinée du cœur;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.6.F OP du cœur chez l'enfant et l'adolescent (âge <20);*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.24.F Total des remplacements de valve aortique à cœur ouvert (âge >19);*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.7.M Remplacement isolé de valve aortique à cœur ouvert sans autre OP du cœur (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.19.M Remplacement isolé de valve aortique à cœur ouvert sans autre OP du cœur avec DP endocardite (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.20.M Remplacement isolé de valve aortique à cœur ouvert sans autre OP du cœur sans DP endocardite (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.25.M Remplacement isolé de valve aortique à cœur ouvert sans systèmes d'assistance cardiaque sans autre OP du cœur (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.26.M Remplacement de valve aortique à cœur ouvert avec remplacement de valve mitrale (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.27.M Remplacement de valve aortique à cœur ouvert avec autre OP du cœur (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.8.M Implantation mini­invasive de valve aortique, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.9.M Implantation mini­invasive de valve aortique par voie endovasculaire, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.10.M Implantation mini­invasive de valve aortique par voie transapicale, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.23.M Interventions endovasculaire/transapicale sur la valve mitrale, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.11.M OP des vaisseaux coronaires uniquement, en cas de DP infarctus du myocarde (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.28.M OP des vaisseaux coronaires uniquement, en cas de DP infarctus du myocarde sans systèmes d'assistance cardiaque (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.12.M OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.13.M OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde, âge 20-49, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.14.M OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde, âge 50-59, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.15.M OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde, âge 60-69, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.16.M OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde, âge 70-79, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.17.M OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde, âge >79, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.29.M OP des vaisseaux coronaires avec autre OP du cœur (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.18.P Cas de respiration artificielle >24 h en cas d'OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde (âge >19), pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.21.P OP des carotides en cas de remplacement isolé de valve aortique à cœur ouvert sans autre OP du cœur (âge >19), pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;A.7.22.P OP des carotides en cas d'OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde (âge >19), pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B Maladies du système nerveux, accident vasculaire cérébral (attaque cérébrale); ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;B.1 Accident vasculaire cérébral (attaque cérébrale); ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;B.1.1.M DP accident vasculaire cérébral, toutes les formes (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.2.M DP accident vasculaire cérébral, toutes les formes, âge 20-44, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.3.M DP accident vasculaire cérébral, toutes les formes, âge 45-64, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.4.M DP accident vasculaire cérébral, toutes les formes, âge 65-84, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.5.M DP accident vasculaire cérébral, toutes les formes, âge >84, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.7.M Infarctus cérébral (CIM­10 I63, âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.8.M Infarctus cérébral (CIM­10 I63, âge >19), admissions directes, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.13.M Infarctus cérébral (CIM­10 I63, âge >19), transféré d'un autre hôpital, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.16.P Infarctus cérébral (CIM­10 I63, âge >19) avec rééducation précoce, admissions directes, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.17.P Infarctus cérébral (CIM­10 I63, âge >19) avec rééducation précoce, transféré d'un autre hôpital, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.9.M Infarctus cérébral (CIM­10 I63, âge >19) avec thrombolyse systémique, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.9.P Infarctus cérébral (CIM­10 I63, âge >19) avec thrombolyse systémique, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.18.M Infarctus cérébral (CIM­10 I63, âge >19) avec thrombectomie intracrânienne, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.18.P Infarctus cérébral (CIM­10 I63, âge >19) avec thrombectomie intracrânienne, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.21.M Infarctus cérébral (CIM­10 I63, âge 20-69) avec thrombectomie intracrânienne, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.22.M Infarctus cérébral (CIM­10 I63, âge 70-79) avec thrombectomie intracrânienne, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.23.M Infarctus cérébral (CIM­10 I63, âge 80-89) avec thrombectomie intracrânienne, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.24.M Infarctus cérébral (CIM­10 I63, âge >90) avec thrombectomie intracrânienne, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.14.M Infarctus cérébral (CIM­10 I63, âge >19) avec pneumonie, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.14.P Infarctus cérébral (CIM­10 I63, âge >19) avec pneumonie, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.10.M Hémorragie intracérébrale (CIM­10 I61, âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.11.M Hémorragie sous­arachnoïdienne (CIM­10 I60, âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.12.M Accident vasculaire cérébral, sans précision (CIM­10 I64, âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.12.P Accident vasculaire cérébral, sans précision (CIM­10 I64, âge >19), pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.1.25.M AIT, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.2 Traitement en unité cérébro­vasculaire; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;B.2.3.F Traitement complexe neurologique ou autre (unité cérébro­vasculaire);*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.2.4.P Infarctus cérébral avec traitement complexe neurologique ou autre, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.2.2.P AIT avec traitement complexe neurologique ou autre, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.2.5.P DP infarctus cérébral ou AIT (âge >19) avec traitement complexe neurologique ou autre, admissions directes, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.2.6.P DP infarctus cérébral ou AIT (âge >19) avec traitement complexe neurologique ou autre, transféré d’un autre hôpital, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.2.7.F Traitement complexe neurologique ou autre (unité cérébro­vasculaire) en cas d’autre diagnostic ou âge <20;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.3 Tumeurs malignes de l'encéphale ou des méninges cérébrales; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;B.3.1.F DP tumeurs malignes de l'encéphale ou des méninges cérébrales;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.3.2.M OP du cerveau en cas de tumeurs malignes, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.4 Epilepsie; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;B.4.1.F Traitements hospitaliers en cas de DP épilepsie (âge >19);*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.4.2.F Traitements hospitaliers en cas de DP épilepsie (âge <20);*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;B.5 Sclérose en plaques; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;B.5.1.F Traitements hospitaliers en cas de DP sclérose en plaques;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;C Médecine gériatrique; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;C.1 Rééducation gériatrique précoce; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;C.1.1.F Rééducation gériatrique précoce;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;C.1.2.P Rééducation gériatrique précoce avec index de Barthel, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;C.1.3.S Valeur moyenne de l’index de Barthel moteur à l’admission;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;C.1.7.P Rééducation gériatrique précoce avec index de Barthel étendu, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;C.1.4.P Rééducation gériatrique précoce avec FIM moteur, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;C.1.5.S Valeur moyenne du FIM moteur à l'admission;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;C.1.8.P Rééducation gériatrique précoce avec FIM cognitif, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;C.1.9.P Rééducation gériatrique précoce avec MMSE, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;C.1.6.P Patients opérés avec DS délirium, âge >59, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;C.2 Malnutrition des personnes âgées; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;C.2.1.P Cas avec malnutrition grave/cachexie sans tumeur, âge >64, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;C.2.2.P Cas avec traitement nutritionnel entérale/parentérale en cas de malnutrition grave/cachexie sans tumeur, âge >64, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D Maladies pulmonaires; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;D.1 Pneumonie; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;D.1.1.M DP pneumonie, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.2.M DP pneumonie, âge <20, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.3.M DP pneumonie, âge 20-44, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.4.M DP pneumonie, âge 45-64, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.5.M DP pneumonie, âge 65-84, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.6.M DP pneumonie, âge >84, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.7.M DP pneumonie sans tumeur ni mucoviscidose, âge 1-19, admissions directes, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.8.M DP pneumonie sans tumeur ni mucoviscidose, âge >19, admissions directes, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.9.M DP pneumonie sans tumeur ni mucoviscidose, âge 20-44, admissions directes, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.10.M DP pneumonie sans tumeur ni mucoviscidose, âge 45-64, admissions directes, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.11.M DP pneumonie sans tumeur ni mucoviscidose, âge 65-84, admissions directes, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.12.M DP pneumonie sans tumeur ni mucoviscidose, âge >84, admissions directes, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.15.M DP pneumonie sans tumeur, ni mucoviscidose, ni COVID-19 (âge >19), admissions directes, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.13.M DP pneumonie par aspiration, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.14.M DP bronchite/bronchiolite sans tumeur ni mucoviscidose (âge >19), admissions directes, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.16.M Pneumonie nosocomiale sans tumeur ni mucoviscidose (âge >19), admissions directes, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.17.M Respiration artificielle >24 h en cas de pneumonie nosocomiale, sans tumeur ni mucoviscidose (âge >19), admissions directes, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.1.17.P Respiration artificielle >24 h en cas de pneumonie nosocomiale, sans tumeur ni mucoviscidose (âge >19), admissions directes, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.2 Broncho­pneumopathie chronique obstructive (BPCO); ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;D.2.1.M BPCO sans tumeur (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.2.2.M BPCO sans tumeur avec VEF1 <35 % (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.2.3.M BPCO sans tumeur avec VEF1 35-49 % (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.2.4.M BPCO sans tumeur avec VEF1 50-69 % (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.2.5.M BPCO sans tumeur avec VEF1 >69 % (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.2.6.M BPCO sans tumeur avec VEF1 non précisé (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.2.6.P BPCO sans tumeur avec VEF1 non précisé (âge >19), pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.3 Cancer du poumon (carcinome bronchique); ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;D.3.1.F Traitements hospitaliers en cas de DP cancer du poumon;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.4 Opérations du poumon; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;D.4.1.M Total des résections pulmonaires ou bronchiques, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.4.2.M Pneumonectomie en cas de carcinome bronchique, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.4.2.P Pneumonectomie en cas de carcinome bronchique, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.4.3.M Résections pulmonaires partielles en cas de carcinome bronchique, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.4.4.P Bronchoplastie et angioplastie en cas de carcinome bronchique, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;D.4.5.M Pleurectomie, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E Maladies des organes abdominaux; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;E.1 Ablation de la vésicule biliaire (cholécystectomie); ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;E.1.1.M Cholécystectomie en cas de calculs biliaires et cholécystite, sans tumeur, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.1.2.P Laparoscopie avec cholécystectomie en cas de calculs biliaires et cholécystite, sans tumeur, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.2 Réparations de hernie; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;E.2.1.M Herniotomie sans OP de l'intestin, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.2.2.M Herniotomie avec OP de l'intestin, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.2.3.P OP alloplastique de hernie inguinale, âge 0-19, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.2.4.P OP alloplastique de hernie inguinale, âge >19, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.3 Opérations de la thyroïde; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;E.3.1.F Résections thyroïdiennes;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.3.2.P Cas de respiration artificielle >24 h en cas de résections thyroïdiennes, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.3.4.F Résections thyroïdiennes en cas de tumeurs malignes de la thyroïde;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.3.5.F Résections thyroïdiennes pour affections bénignes de la thyroïde;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.3.3.F Radiothérapie par iode radioactif;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4 Maladies du côlon et du rectum; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;E.4.11.F Traitements hospitaliers en cas de DP carcinome colorectal;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4.12.F Traitements hospitaliers en cas de colite ulcéreuse ou maladie de Crohn (DP ou DS);*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4.1.M Total des résections colorectales, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4.2.M Résections du côlon pour cancer colorectal sans diagnostic compliquant, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4.3.M Résections du côlon pour cancer colorectal avec diagnostic compliquant, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4.4.M Résections du rectum pour cancer colorectal, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4.5.M Résections colorectales pour diverticule sans abcès/perforation, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4.6.M Résections colorectales pour diverticule avec abcès/perforation, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4.7.M Résections colorectales pour ischémie intestinale, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4.13.M Résections colorectales pour colite ulcéreuse ou maladie de Crohn, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4.8.M Résections du côlon pour autre diagnostic, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4.14.P Résection/destruction du foie avec résections colorectales pour carcinome colorectal, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4.15.M Résections colorectales (E.4.2.F, E.4.3.F, E.4.4.F, E.4.5.F, E.4.6.F, E.4.13.F) sans résections profondes du rectum avec insuffisance anastomosique, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4.15.P Résections colorectales (E.4.2.F, E.4.3.F, E.4.4.F, E.4.5.F, E.4.6.F, E.4.13.F) sans résections profondes du rectum avec insuffisance anastomosique, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4.16.M Résections antérieures profondes du rectum avec insuffisance anastomosique, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.4.16.P Résections antérieures profondes du rectum avec insuffisance anastomosique, pourcentage;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.5 Maladies de l'estomac; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;E.5.4.F Traitements hospitaliers en cas de DP cancer de l'estomac;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.5.5.M DP ulcère de l'estomac, du duodénum ou du jéjunum, sans tumeur, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.5.1.F Total des gastrectomies;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.5.2.M Gastrectomies (sans OP de l'œsophage) en cas de cancer de l'estomac, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.5.3.M Gastrectomies avec OP complexe de l'œsophage, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.5.6.M Gastrectomies partielles ou totales pour autre diagnostic, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.6 Opérations de l'œsophage; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;E.6.1.M Interventions complexes de l'œsophage, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.7 Opérations du pancréas et du foie; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;E.7.1.M Total des interventions sur le pancréas sans transplantation (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.7.3.M Résections du pancréas en cas de tumeurs malignes du pancréas, TIPMP inclus (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.7.4.M Autres interventions locales/plus petites sur le pancréas (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.7.5.M Résections anatomiques du foie (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.7.6.M Résections anatomiques du foie avec quatre segments et plus (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;E.8 Interventions bariatriques; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;E.8.1.M Chirurgie bariatrique, mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;F Affections des vaisseaux; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;F.1 Opérations des artères cérébrales; ; ; ; ; ; ; ; 
Maison de naissance Les Cigognes;F.1.6.M OP des vaisseaux extra­crâniens sur l'artère carotide (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;F.1.7.M OP des vaisseaux extra­crâniens sur l'artère vertébrale (âge >19), mortalité;*;*;*;-;*;*;*;-
Maison de naissance Les Cigognes;F.1.8.M Implantation percutanée de stents dans l'artère carotide (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;F.1.9.M Implantation percutanée de stents dans l'artère carotide en cas d'AIT ou d'infarctus cérébral (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;F.1.10.M Implantation percutanée de stents dans l'artère carotide en cas de sténose (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;F.1.11.M Autres implantations percutanées de stents dans l'artère carotide (âge >19), mortalité;*;*;*;0;*;*;*;0
Maison de naissance Les Cigognes;F.1.12.M Implantation percutanée de stents dans l'artère vertébrale (âge >19), mortalité;*;*;*;0;*;*;*;0
