institution;indicator;taux observé 2018-2022;taux attendu 2018-2022;SMR 2018-2022;nombre de cas 2018-2022;taux observé 2023;taux attendu 2023;SMR 2023;nombre de cas 2023
Les Hôpitaux Universitaires de Genève HUG;D.1.7.M DP pneumonie sans tumeur ni mucoviscidose, âge 1-19, admissions directes, mortalité;0.5%;0.2%;2.7;400;0.0%;0.0%;*;138
Les Hôpitaux Universitaires de Genève HUG;D.1.8.M DP pneumonie sans tumeur ni mucoviscidose, âge >19, admissions directes, mortalité;6.9%;6.8%;1.0;7'180;3.5%;4.5%;0.8;1'193
Les Hôpitaux Universitaires de Genève HUG;D.1.9.M DP pneumonie sans tumeur ni mucoviscidose, âge 20-44, admissions directes, mortalité;0.2%;0.2%;1.0;542;0.0%;0.4%;0.0;104
Les Hôpitaux Universitaires de Genève HUG;D.1.10.M DP pneumonie sans tumeur ni mucoviscidose, âge 45-64, admissions directes, mortalité;1.3%;1.1%;1.1;1'485;1.0%;0.7%;1.3;207
Les Hôpitaux Universitaires de Genève HUG;D.1.11.M DP pneumonie sans tumeur ni mucoviscidose, âge 65-84, admissions directes, mortalité;5.8%;6.3%;0.9;3'029;2.7%;3.6%;0.8;516
Les Hôpitaux Universitaires de Genève HUG;D.1.12.M DP pneumonie sans tumeur ni mucoviscidose, âge >84, admissions directes, mortalité;14.0%;13.3%;1.1;2'124;7.1%;9.2%;0.8;366
Les Hôpitaux Universitaires de Genève HUG;D.1.15.M DP pneumonie sans tumeur, ni mucoviscidose, ni COVID-19 (âge >19), admissions directes, mortalité;3.9%;4.9%;0.8;4'241;2.8%;3.8%;0.7;1'001
Les Hôpitaux Universitaires de Genève HUG;D.1.13.M DP pneumonie par aspiration, mortalité;20.6%;20.2%;1.0;766;21.5%;20.3%;1.1;181
Les Hôpitaux Universitaires de Genève HUG;D.1.14.M DP bronchite/bronchiolite sans tumeur ni mucoviscidose (âge >19), admissions directes, mortalité;3.7%;0.8%;4.7;136;0.0%;0.9%;0.0;29
Les Hôpitaux Universitaires de Genève HUG;D.1.16.M Pneumonie nosocomiale sans tumeur ni mucoviscidose (âge >19), admissions directes, mortalité;13.6%;18.5%;0.7;419;12.2%;16.0%;0.8;189
